Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000017195","CHF","false","1.0","1.0","0.0","true","","Brisbane Insurance","Travel Insurance Private Extension"
"CP-0000017196","CHF","false","1.0","1.0","0.0","true","","Bristol Insurance","Travel Insurance Private Extension"
"CP-0000017197","CHF","false","1.0","1.0","0.0","true","","Chicago Insurance","Travel Insurance Private Extension"
"CP-0000017198","CHF","false","1.0","1.0","0.0","true","","Costa Rica Insurance","Travel Insurance Private Extension"
"CP-0000017199","CHF","false","1.0","1.0","0.0","true","","Dublin Insurance","Travel Insurance Private Extension"
"CP-0000017200","CHF","false","1.0","1.0","0.0","true","","Honolulu Insurance","Travel Insurance Private Extension"
"CP-0000017201","CHF","false","1.0","1.0","0.0","true","","London Insurance","Travel Insurance Private Extension"
"CP-0000017202","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Insurance","Travel Insurance Private Extension"
"CP-0000017203","CHF","false","1.0","1.0","0.0","true","","Miami Insurance","Travel Insurance Private Extension"
"CP-0000017204","CHF","false","1.0","1.0","0.0","true","","Oxford Insurance","Travel Insurance Private Extension"
"CP-0000017205","CHF","false","1.0","1.0","0.0","true","","Paris Insurance","Travel Insurance Private Extension"
"CP-0000017206","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Insurance","Travel Insurance Private Extension"
"CP-0000017207","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Insurance","Travel Insurance Private Extension"
"CP-0000017208","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Insurance","Travel Insurance Private Extension"
"CP-0000017209","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Insurance","Travel Insurance Private Extension"
"CP-0000017210","CHF","false","1.0","1.0","0.0","true","","Singapore Insurance","Travel Insurance Private Extension"
"CP-0000017211","CHF","false","1.0","1.0","0.0","true","","Bournemouth Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017212","CHF","false","1.0","1.0","0.0","true","","Brisbane Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017213","CHF","false","1.0","1.0","0.0","true","","Bristol Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017214","CHF","false","1.0","1.0","0.0","true","","Chicago Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017215","CHF","false","1.0","1.0","0.0","true","","Costa Rica Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017216","CHF","false","1.0","1.0","0.0","true","","Dublin Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017217","CHF","false","1.0","1.0","0.0","true","","Honolulu Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017218","CHF","false","1.0","1.0","0.0","true","","London Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017219","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017220","CHF","false","1.0","1.0","0.0","true","","Miami Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017221","CHF","false","1.0","1.0","0.0","true","","Oxford Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017222","CHF","false","1.0","1.0","0.0","true","","Paris Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017223","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017224","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017225","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017226","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017227","CHF","false","1.0","1.0","0.0","true","","Singapore Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000017228","CHF","false","1.0","1.0","0.0","true","","Bournemouth Insurance","Travel Insurance Second Destination"
"CP-0000017229","CHF","false","1.0","1.0","0.0","true","","Brisbane Insurance","Travel Insurance Second Destination"
"CP-0000017230","CHF","false","1.0","1.0","0.0","true","","Bristol Insurance","Travel Insurance Second Destination"
"CP-0000017231","CHF","false","1.0","1.0","0.0","true","","Chicago Insurance","Travel Insurance Second Destination"
"CP-0000017232","CHF","false","1.0","1.0","0.0","true","","Costa Rica Insurance","Travel Insurance Second Destination"
"CP-0000017233","CHF","false","1.0","1.0","0.0","true","","Dublin Insurance","Travel Insurance Second Destination"
"CP-0000017234","CHF","false","1.0","1.0","0.0","true","","Honolulu Insurance","Travel Insurance Second Destination"
"CP-0000017235","CHF","false","1.0","1.0","0.0","true","","London Insurance","Travel Insurance Second Destination"
"CP-0000017236","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Insurance","Travel Insurance Second Destination"
"CP-0000017237","CHF","false","1.0","1.0","0.0","true","","Miami Insurance","Travel Insurance Second Destination"
"CP-0000017238","CHF","false","1.0","1.0","0.0","true","","Oxford Insurance","Travel Insurance Second Destination"
"CP-0000017239","CHF","false","1.0","1.0","0.0","true","","Paris Insurance","Travel Insurance Second Destination"
"CP-0000017240","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Insurance","Travel Insurance Second Destination"
"CP-0000017241","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Insurance","Travel Insurance Second Destination"
"CP-0000017242","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Insurance","Travel Insurance Second Destination"
"CP-0000017243","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Insurance","Travel Insurance Second Destination"
"CP-0000017244","CHF","false","1.0","1.0","0.0","true","","Singapore Insurance","Travel Insurance Second Destination"
"CP-0000017245","CHF","false","1.0","1.0","0.0","true","","Bournemouth Insurance","Travel Insurance Sport"
"CP-0000017246","CHF","false","1.0","1.0","0.0","true","","Brisbane Insurance","Travel Insurance Sport"
