APTS Ext ID,Currency ISO Code,Description,Dimension 1 Value Type,Dimension 2 Value Type,Dimension 3 Value Type,Dimension 4 Value Type,Dimension 5 Value Type,Dimension 6 Value Type,Enable Date Range,Enable Usage Indexing,Export Price List Item Name,Export Price List Name,Initial Rows,Is Cumulative Range (Deprecated),Matrix Id,Matrix Type,Number Of Entries,Sequence,Stop Processing More Matrices,Apttus_Config2__PriceListItemId__r.APTS Migration Ext ID,Apttus_Config2__PriceListItemId__r.Item Id,Apttus_Config2__Dimension1Id__r.Dimension Name,Apttus_Config2__Dimension2Id__r.Dimension Name,Apttus_Config2__Dimension3Id__r.Dimension Name,Apttus_Config2__Dimension4Id__r.Dimension Name,Apttus_Config2__Dimension5Id__r.Dimension Name,Apttus_Config2__Dimension6Id__r.Dimension Name
414,CHF,,Cumulative Range,Discrete,,,,,FALSE,FALSE,General Course,ILSU DE 2017 V3,5,FALSE,PM-0000000657,Dimension,38,1,FALSE,4301,PI-0000005239,Quantity,Destination Code,,,,
415,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - University Transition Programme - May,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000274,Dimension,1,1,FALSE,3907,PI-0000006283,Destination Code,,,,,
416,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - ACDP - June,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000275,Dimension,1,1,FALSE,3908,PI-0000006284,Destination Code,,,,,
417,CHF,,Cumulative Range,Discrete,,,,,FALSE,FALSE,Travel Insurance Coverage,ILSU DE 2017 V3,5,FALSE,PM-0000000658,Dimension,38,1,FALSE,4426,PI-0000005318,Quantity,Destination Code,,,,
418,CHF,,Cumulative Range,Discrete,,,,,FALSE,FALSE,Exam Course,ILSU DE 2017 V3,5,FALSE,PM-0000000659,Dimension,38,1,FALSE,4302,PI-0000005241,Quantity,Destination Code,,,,
419,CHF,,Cumulative Range,Discrete,,,,,FALSE,FALSE,Language Experience,ILSU DE 2017 V3,5,FALSE,PM-0000000660,Dimension,38,1,FALSE,4304,PI-0000005243,Quantity,Destination Code,,,,
420,CHF,,Cumulative Range,Discrete,,,,,FALSE,FALSE,Business Language Course,ILSU DE 2017 V3,5,FALSE,PM-0000000661,Dimension,32,1,FALSE,4300,PI-0000005238,Quantity,Destination Code,,,,
421,CHF,,Discrete,,,,,,FALSE,FALSE,Exam Course,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000664,Dimension,42,1,FALSE,4359,PI-0000006613,Departure Point,,,,,
422,CHF,,Discrete,,,,,,FALSE,FALSE,General Course,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000665,Dimension,39,1,FALSE,5233,PI-0000006614,Destination Code,,,,,
423,CHF,,Discrete,,,,,,FALSE,FALSE,Intensive Course,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000666,Dimension,42,1,FALSE,5234,PI-0000006615,Destination Code,,,,,
424,CHF,,Discrete,,,,,,FALSE,FALSE,Business Language Course,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000667,Dimension,42,1,FALSE,4358,PI-0000006612,Destination Code,,,,,
425,CHF,,Discrete,,,,,,FALSE,FALSE,Career&Business package: Career coach,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000668,Dimension,15,1,FALSE,5236,PI-0000006779,Destination Code,,,,,
426,CHF,,Discrete,,,,,,FALSE,FALSE,Activity Voucher - One Unit,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000669,Dimension,43,1,FALSE,4383,PI-0000006798,Destination Code,,,,,
427,CHF,,Discrete,,,,,,FALSE,FALSE,Free Apple Watch Sport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000670,Dimension,34,1,FALSE,4380,PI-0000006794,Destination Code,,,,,
428,CHF,,Discrete,,,,,,FALSE,FALSE,Free Apple Watch Sport (Sales Office),MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000671,Dimension,34,1,FALSE,4381,PI-0000006795,Destination Code,,,,,
429,CHF,,Discrete,,,,,,FALSE,FALSE,Bus Pass,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000672,Dimension,5,1,FALSE,4379,PI-0000006747,Destination Code,,,,,
430,CHF,,Discrete,,,,,,FALSE,FALSE,Dinner Supplement,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000673,Dimension,9,1,FALSE,4385,PI-0000007091,Destination Code,,,,,
431,CHF,,Discrete,,,,,,FALSE,FALSE,Full Board,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000674,Dimension,17,1,FALSE,4386,PI-0000007095,Destination Code,,,,,
432,CHF,,Discrete,,,,,,FALSE,FALSE,Host Family Single,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000675,Dimension,42,1,FALSE,4387,PI-0000007098,Destination Code,,,,,
433,CHF,,Discrete,,,,,,FALSE,FALSE,Group Activity Voucher 100,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000676,Dimension,38,1,FALSE,4388,PI-0000007105,Destination Code,,,,,
434,CHF,,Discrete,,,,,,FALSE,FALSE,Breakfast,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000677,Dimension,2,1,FALSE,4382,PI-0000006796,Destination Code,,,,,
435,CHF,,Discrete,,,,,,FALSE,FALSE,Australia Overseas Health Cover,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000678,Dimension,3,1,FALSE,4400,PI-0000007703,Destination Code,,,,,
436,CHF,,Discrete,,,,,,FALSE,FALSE,Group Activity Voucher 15,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000679,Dimension,38,1,FALSE,4389,PI-0000007107,Destination Code,,,,,
437,CHF,,Discrete,,,,,,FALSE,FALSE,Guaranteed Exam SPIN,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000680,Dimension,2,1,FALSE,4390,PI-0000007110,Destination Code,,,,,
438,CHF,,Discrete,,,,,,FALSE,FALSE,Half Board,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000681,Dimension,15,1,FALSE,4399,PI-0000007354,Destination Code,,,,,
439,CHF,,Discrete,,,,,,FALSE,FALSE,Half Board Supplement 7 Days,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000682,Dimension,2,1,FALSE,4396,PI-0000007343,Destination Code,,,,,
440,CHF,,Discrete,,,,,,FALSE,FALSE,Homeshare Multi,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000683,Dimension,2,1,FALSE,4397,PI-0000007345,Destination Code,,,,,
441,CHF,,Discrete,,,,,,FALSE,FALSE,Homeshare Multi Extra Night,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000684,Dimension,2,1,FALSE,4398,PI-0000007346,Destination Code,,,,,
442,CHF,,Discrete,,,,,,FALSE,FALSE,Volunteer Experience Plus,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000685,Dimension,22,1,FALSE,4393,PI-0000007329,Destination Code,,,,,
443,CHF,,Discrete,,,,,,FALSE,FALSE,Lunch Supplement,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000686,Dimension,30,1,FALSE,4391,PI-0000007327,Destination Code,,,,,
444,CHF,,Discrete,,,,,,FALSE,FALSE,Lunch Supplement 5 Days,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000687,Dimension,6,1,FALSE,4392,PI-0000007328,Destination Code,,,,,
445,CHF,,Discrete,,,,,,FALSE,FALSE,Lunch Supplement 7 Days,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000688,Dimension,5,1,FALSE,4394,PI-0000007330,Destination Code,,,,,
446,CHF,,Discrete,,,,,,FALSE,FALSE,No Accommodation,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000689,Dimension,42,1,FALSE,4395,PI-0000007331,Destination Code,,,,,
447,CHF,,Discrete,,,,,,FALSE,FALSE,Supervised Transfer Supplement - Minor,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000690,Dimension,21,1,FALSE,4352,PI-0000006594,Destination Code,,,,,
448,CHF,,Discrete,,,,,,FALSE,FALSE,Travel Insurance Full Year,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000691,Dimension,42,1,FALSE,5232,PI-0000006596,Destination Code,,,,,
449,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000692,Dimension,26,1,FALSE,4354,PI-0000006598,Destination Code,,,,,
450,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - Exam - June,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000276,Dimension,33,1,FALSE,3888,PI-0000006263,Destination Code,,,,,
451,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - General - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000277,Dimension,39,1,FALSE,3826,PI-0000006172,Destination Code,,,,,
452,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - Intensive - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000278,Dimension,42,1,FALSE,5222,PI-0000006173,Destination Code,,,,,
453,CHF,,Discrete,,,,,,FALSE,FALSE,Academic Year - Intensive - November,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000279,Dimension,19,1,FALSE,3822,PI-0000006168,Destination Code,,,,,
454,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Business English - November,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000280,Dimension,1,1,FALSE,3823,PI-0000006169,Destination Code,,,,,
455,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - ACDP - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000281,Dimension,2,1,FALSE,3824,PI-0000006170,Destination Code,,,,,
456,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - Exam - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000282,Dimension,42,1,FALSE,3825,PI-0000006171,Destination Code,,,,,
457,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - ACDP - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000283,Dimension,1,1,FALSE,3827,PI-0000006174,Destination Code,,,,,
458,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - Exam - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000284,Dimension,42,1,FALSE,3828,PI-0000006175,Destination Code,,,,,
459,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - General - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000285,Dimension,39,1,FALSE,3829,PI-0000006176,Destination Code,,,,,
460,CHF,,Discrete,,,,,,FALSE,FALSE,Year Extended - Intensive - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000286,Dimension,42,1,FALSE,3867,PI-0000006232,Destination Code,,,,,
461,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - Exam - September,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000287,Dimension,42,1,FALSE,3917,PI-0000006294,Destination Code,,,,,
462,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - General - September,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000288,Dimension,39,1,FALSE,3918,PI-0000006295,Destination Code,,,,,
463,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - Intensive - September,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000289,Dimension,42,1,FALSE,3919,PI-0000006296,Destination Code,,,,,
