"ID","OWNERID","ISDELETED","NAME","CURRENCYISOCODE","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","APTSEXTID__C","COUNTRY__C","DESTINATIONCODE__C","ENDDATEOFFSET__C","LANGUAGE__C","STARTDATEOFFSET__C","ISLT__C","GROUPEDLTDESTINATIONNAME__C"
"a5m7E000000CfXdQAK","0057E000003Lh0tQAC","false","Brisbane Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","AU","AU-BNR-LT","1.0","English","-1.0","true","Brisbane"
"a5m7E000000CfXeQAK","0057E000003Lh0tQAC","false","Sydney Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","AU","AU-SYD-LT","1.0","English","-1.0","true","Sydney"
"a5m7E000000CfXfQAK","0057E000003Lh0tQAC","false","Cairns Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","AU","AU-CAI-LT","1.0","English","-1.0","true","Cairns"
"a5m7E000000CfXgQAK","0057E000003Lh0tQAC","false","Gold Coast Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","AU","AU-GDC-LT","1.0","English","-1.0","true","Gold Coast"
"a5m7E000000CfXhQAK","0057E000003Lh0tQAC","false","Vancouver Island Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-VIR-LT","1.0","English","-1.0","true","Vancouver Island"
"a5m7E000000CfXiQAK","0057E000003Lh0tQAC","false","Toronto Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-TRR-LT","1.0","English","-1.0","true","Toronto"
"a5m7E000000CfXjQAK","0057E000003Lh0tQAC","false","Vancouver Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-VAN-LT","1.0","English","-1.0","true","Vancouver"
"a5m7E000000CfXkQAK","0057E000003Lh0tQAC","false","Vancouver Island Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-VIC-LT","1.0","English","-1.0","true","Vanocuver Island"
"a5m7E000000CfXlQAK","0057E000003Lh0tQAC","false","Toronto","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-TOO-LT","1.0","English","-1.0","true","Toronto"
"a5m7E000000CfXmQAK","0057E000003Lh0tQAC","false","Vancouver Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CA","CA-VAR-LT","1.0","English","-1.0","true","Vancouver"
"a5m7E000000CfXnQAK","0057E000003Lh0tQAC","false","Costa Rica","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","CR","CR-COS-LT","1.0","English","-1.0","true","Costa Rica"
"a5m7E000000CfXoQAK","0057E000003Lh0tQAC","false","Grand Tour incl. Cruise Extension","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","EU","EU-TGC-LT","1.0","English","-1.0","true","Grand Tour incl. Cruise Extension"
"a5m7E000000CfXpQAK","0057E000003Lh0tQAC","false","Grand Tour Europe","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","EU","EU-TGT-LT","1.0","English","-1.0","true","Grand Tour Europe"
"a5m7E000000CfWyQAK","0057E000004AesfQAC","false","Cambridge","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-CAM","1.0","English","-1.0","false",""
