Currency ISO Code,Ratio,Sequence,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"CHF","","31.0","AY Courses","Australia Overseas Health Cover AY"
"CHF","","32.0","AY Courses","Semester - AD Hotel & Tourism - April"
"CHF","","33.0","AY Courses","Semester - Pre Master Business Administration - April"
"CHF","","118.0","AY Courses","Semester-University Transition Programme-Jan"
"CHF","","119.0","AY Courses","Semester - Exam - April"
"CHF","","120.0","AY Courses","Semester - General - April"
"CHF","","121.0","AY Courses","Semester - Exam - September"
"CHF","","122.0","AY Courses","Semester - General - September"
"CHF","","123.0","AY Courses","Semester - Pre Master – September"
"CHF","","124.0","AY Courses","Semester - Exam - November"
"CHF","","125.0","AY Courses","Semester - General - November"
"CHF","","126.0","AY Courses","Semester - Intensive - November"
"CHF","","127.0","AY Courses","Term-University Transition Programme-Jan"
"CHF","","128.0","AY Courses","Term-University Transition Programme-May"
"CHF","","129.0","AY Courses","Term-University Transfer Program-August"
"CHF","","130.0","AY Courses","University Foundation Year Extended June"
"CHF","","131.0","AY Courses","University Foundation Year Extended"
"CHF","","132.0","AY Courses","University Foundation Year Extra Extended - April"
"CHF","","133.0","AY Courses","University Foundation Year Extra Extended - June"
"CHF","","134.0","AY Courses","University Foundation Year Extra Extended"
"CHF","","135.0","AY Courses","University Foundation Year - January"
"CHF","","46.0","Products with Subtype Hotel and Hotel Extra Night","Marriott Hotel Single Extra Night"
"CHF","","47.0","Products with Subtype Hotel and Hotel Extra Night","Royal Cambridge Hotel Single Extra Night"
"CHF","","48.0","Products with Subtype Hotel and Hotel Extra Night","Royal Sonesta Hotel Single Extra Night"
"CHF","","49.0","Products with Subtype Hotel and Hotel Extra Night","Sorrento Hotel Single Extra Night"
"CHF","","50.0","Products with Subtype Hotel and Hotel Extra Night","Trastevere Hotel Single Extra Night"
"CHF","","51.0","Products with Subtype Hotel and Hotel Extra Night","Triangle Apartments Single Extra Night"
"CHF","","52.0","Products with Subtype Hotel and Hotel Extra Night","Varsity Hotel Single Extra Night"
"CHF","","53.0","Products with Subtype Hotel and Hotel Extra Night","Flottwelll Hotel Twin"
"CHF","","54.0","Products with Subtype Hotel and Hotel Extra Night","Flottwelll Hotel Twin Extra Night"
"CHF","","55.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Upgrade"
"CHF","","56.0","Products with Subtype Hotel and Hotel Extra Night","Citadines Aparthotel Double Week"
"CHF","","57.0","Products with Subtype Hotel and Hotel Extra Night","City Stay Apartment Double Week"
"CHF","","58.0","Products with Subtype Hotel and Hotel Extra Night","Garden House Hotel Double Week"
"CHF","","59.0","Products with Subtype Hotel and Hotel Extra Night","Best Western Gonville Hotel Double Week"
"CHF","","60.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Double Week"
"CHF","","61.0","Products with Subtype Hotel and Hotel Extra Night","Hilton Downtown Week"
"CHF","","62.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Express Double Week"
"CHF","","63.0","Products with Subtype Hotel and Hotel Extra Night","Homerton College Week"
"CHF","","64.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Somerville Week"
"CHF","","65.0","Products with Subtype Hotel and Hotel Extra Night","The Marriot Residence Inn Double Week"
"CHF","","66.0","Products with Subtype Hotel and Hotel Extra Night","Royal Cambidge Hotel Double Week"
"CHF","","67.0","Products with Subtype Hotel and Hotel Extra Night","Royal Sonesta Hotel Double Week"
"CHF","","68.0","Products with Subtype Hotel and Hotel Extra Night","Sorrento Double Week"
"CHF","","69.0","Products with Subtype Hotel and Hotel Extra Night","University Arms Hotel Double Week"
"CHF","","70.0","Products with Subtype Hotel and Hotel Extra Night","Varsity Hotel Double Week"
"CHF","","71.0","Products with Subtype Hotel and Hotel Extra Night","ACM Fee Xnight Group"
"CHF","","3.0","Host Family included","Barcelona"
"CHF","","12.0","Northern Hemisphere","Honolulu"
"CHF","","4.0","Southern Hemisphere","Auckland"
"CHF","","34.0","AY Courses","Semester - General - June"
"CHF","","35.0","AY Courses","Semester - Pre Master - June"
"CHF","","36.0","AY Courses","Semester - Intensive - September"
"CHF","","37.0","AY Courses","Semester - AD Media & Art - September"
"CHF","","38.0","AY Courses","Year - AD Business English & Exam - Sept"
"CHF","","39.0","AY Courses","Semester - Intensive - January"
"CHF","","40.0","AY Courses","Semester - Pre Master - January"
"CHF","","41.0","AY Courses","Semester - Intensive - April"
"CHF","","42.0","AY Courses","Semester - AD Business English - April"
"CHF","","43.0","AY Courses","Semester - University Transfer Program - August"
"CHF","","44.0","AY Courses","Year - Pre PHD - January"
"CHF","","45.0","AY Courses","Year - University Transition Program - January"
"CHF","","46.0","AY Courses","Year - ACDP - April"
"CHF","","47.0","AY Courses","Year - Exam - April"
"CHF","","48.0","AY Courses","Academic Year - Intensive - April"
"CHF","","49.0","AY Courses","Year - AD Business English - April"
"CHF","","50.0","AY Courses","Year - AD Fashion & Design - April"
"CHF","","51.0","AY Courses","Year - AD International Affairs - April"
"CHF","","52.0","AY Courses","Year - AD Fashion & Design - September"
"CHF","","53.0","AY Courses","Year - AD Business English - June"
"CHF","","54.0","AY Courses","Year - AD Fashion & Design - June"
"CHF","","55.0","AY Courses","Year - AD International Affairs - June"
"CHF","","56.0","AY Courses","Year - AD Hotel & Tourism - June"
"CHF","","57.0","AY Courses","Year University Transfer Program - August"
"CHF","","58.0","AY Courses","Year - ACDP - September"
"CHF","","59.0","AY Courses","Year - Exam - September"
"CHF","","60.0","AY Courses","Academic Year - General - September"
"CHF","","61.0","AY Courses","Academic Year - Intensive - September"
"CHF","","62.0","AY Courses","Year - AD Media & Art - September"
"CHF","","63.0","AY Courses","University Foundation Year - September"
"CHF","","64.0","AY Courses","Year - ACDP - January"
"CHF","","65.0","AY Courses","Year - Exam - January"
"CHF","","66.0","AY Courses","Academic Year - General - January"
"CHF","","67.0","AY Courses","Year Extended - Pre Master - June"
"CHF","","68.0","AY Courses","Extra Extended Year - Pre Master - January"
"CHF","","69.0","AY Courses","Extra Extended Year - Pre Master - April"
"CHF","","70.0","AY Courses","Extra Extended Year - Pre Master - June"
"CHF","","71.0","AY Courses","Course Literature English AY"
"CHF","","72.0","AY Courses","Semester - ACDP - September"
"CHF","","73.0","AY Courses","Semester - Exam - September"
"CHF","","74.0","AY Courses","Semester - General - September"
