Currency ISO Code,Destination Location,Is Main Supplement,Market,Product Group,Season Supplement Product,Supplement End Date,Supplement Name,Supplement Start Date,ProductGroup__r.Group Name,SeasonSupplementProduct__r.Product Name
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/25/2038","72","03/28/2038","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/28/2038","73","08/02/2038","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/01/2039","74","04/27/2039","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/27/2039","75","08/01/2039","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/28/2021","39","08/02/2021","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/01/2022","40","04/27/2022","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/27/2022","41","08/01/2022","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","04/30/2023","42","04/26/2023","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/26/2023","43","07/31/2023","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/28/2024","44","04/24/2024","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/24/2024","45","08/28/2024","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/27/2025","46","04/01/2025","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/01/2025","47","08/27/2025","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/29/2026","48","03/31/2026","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","04/30/2045","86","04/26/2045","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/26/2045","87","07/31/2045","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/29/2046","88","04/25/2046","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/25/2046","89","08/29/2046","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/28/2047","90","04/02/2047","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/02/2047","91","08/28/2047","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/26/2048","92","03/31/2048","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","08/31/2048","93","08/26/2048","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/26/2019","94","12/26/2018","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/01/2020","95","02/28/2020","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","02/28/2021","96","12/30/2020","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/29/2022","97","12/29/2021","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/28/2023","98","01/30/2023","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/26/2024","99","12/27/2023","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/02/2025","100","02/27/2025","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/01/2026","101","01/30/2026","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","02/28/2027","102","12/30/2026","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/28/2028","103","12/29/2027","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/27/2029","104","12/27/2028","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/26/2030","105","12/26/2029","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/25/2031","106","12/25/2030","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","02/29/2032","107","01/30/2032","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/29/2033","108","12/29/2032","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/28/2034","109","12/28/2033","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/27/2035","110","12/27/2034","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/25/2036","111","12/26/2035","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/01/2037","112","01/30/2037","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","02/28/2038","113","12/30/2037","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/29/2040","76","04/25/2040","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/25/2040","77","08/29/2040","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/28/2041","78","04/24/2041","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/24/2041","79","08/28/2041","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/27/2042","80","04/01/2042","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/01/2042","81","08/27/2042","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/29/2043","82","03/31/2043","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","08/31/2043","83","08/26/2043","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/01/2044","84","05/27/2044","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/27/2044","85","08/01/2044","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","02/28/2049","124","12/30/2048","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/25/2018","125","11/28/2018","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/03/2019","126","03/27/2019","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","01/30/2020","127","11/27/2019","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/28/2020","128","03/02/2020","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/29/2020","129","11/25/2020","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/27/2021","130","03/01/2021","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/28/2021","131","11/24/2021","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/26/2022","132","02/28/2022","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/30/2022","133","11/01/2022","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","03/25/2023","134","03/29/2023","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/26/2023","135","10/31/2023","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/01/2024","136","03/27/2024","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","01/30/2025","137","11/27/2024","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","03/31/2025","138","03/03/2025","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/30/2025","139","11/26/2025","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/28/2026","140","03/02/2026","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/29/2026","141","11/25/2026","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/27/2027","142","03/01/2027","","Weekly Midseason Supplement"
