Currency ISO Code,Default Search Category,Description,Expanded By Default,Guide Page,Hide All Search Filters,Is Hidden,Is Leaf,Is Picklist,Label,Large Image Size,Left,Level,Long Description,Max Options,Min Options,Modifiable,Name,Product Count,Right,Search Filter Fields,Apttus_Config2__HierarchyId__r.Category Name,Apttus_Config2__AncestorId__r.Name,Apttus_Config2__PrimordialId__r.Name,Apttus_Config2__ProductAttributeGroupId__r.Group Name
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Travel","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Travel","9.0","2.0","","Malta St. Julian's Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Other","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Other","14.0","2.0","","Malta St. Julian's Other","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Courses","","1.0","0.0","","1.0","1.0","true","Miami Courses","43.0","2.0","","Miami Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Accommodation","","1.0","0.0","","1.0","1.0","true","Miami Accommodation","16.0","2.0","","Miami Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Insurance","","1.0","0.0","","1.0","1.0","true","Miami Insurance","10.0","2.0","","Miami Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Travel","","1.0","0.0","","1.0","1.0","true","Miami Travel","13.0","2.0","","Miami Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Other","","1.0","0.0","","1.0","1.0","true","Miami Other","20.0","2.0","","Miami Other","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Courses","","1.0","0.0","","1.0","1.0","true","Oxford Courses","33.0","2.0","","Oxford Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Accommodation","","1.0","0.0","","1.0","1.0","true","Oxford Accommodation","15.0","2.0","","Oxford Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Insurance","","1.0","0.0","","1.0","1.0","true","Oxford Insurance","10.0","2.0","","Oxford Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Travel","","1.0","0.0","","1.0","1.0","true","Oxford Travel","25.0","2.0","","Oxford Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Other","","1.0","0.0","","1.0","1.0","true","Oxford Other","14.0","2.0","","Oxford Other","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Courses","","1.0","0.0","","1.0","1.0","true","Paris Courses","52.0","2.0","","Paris Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Accommodation","","1.0","0.0","","1.0","1.0","true","Paris Accommodation","20.0","2.0","","Paris Accommodation","","",""
