Adjustment Heading,Articles Heading,Code Heading,Comments Heading,Course Description Heading,Currency ISO Code,Description Translation,Discount Heading,Duration Heading,General heading,GeneralInfo Translation,Grand Total Heading,Incentive,Incentive Heading,Initial Price Heading,Insurance Heading,Language,Lessons Descriptions Translation,Market,No of Weeks Heading,Optional Heading,Price Heading,Product,Product Name Translation,Promotions Heading,Total Heading,Transalation Name,Unique Record Identifier,Valid Until Heading,RecordType.Name,Incentive__r.Incentive Name,Product__r.Product Name
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTWzQAM","Remboursement","","","T-1814","FRP FR RFC","","Product Translation","","Refund Complaint"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTXAQA2","Remboursement Transfert","","","T-1815","FRP FR RFTS","","Product Translation","","Refund Transfer"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTXVQA2","Supplément régime alimentaire spécial","","","T-1816","FRP FR SD","","Product Translation","","Special Diet"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTRiQAM","Singapore Private Transportation","","","T-1817","FRP FR SINPTR","","Product Translation","","Singapore Private Transportation"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTUzQAM","Southern New Hampshire University Certif","","","T-1818","FRP FR SNHUC","","Product Translation","","Southern New Hampshire University Certificate"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTXWQA2","Special Travel Arrangement Arrival","","","T-1819","FRP FR STAA","","Product Translation","","Special Travel Arrangement Arrival"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTXXQA2","Special Travel Arrangement Departure","","","T-1820","FRP FR STAD","","Product Translation","","Special Travel Arrangement Departure"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTskQAE","Special Transfer","","","T-1821","FRP FR STS","","Product Translation","","Special Transfer"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJvQAM","Supervised Transfer Supplement - Minor","","","T-1822","FRP FR STUM","","Product Translation","","Supervised Transfer Supplement - Minor"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTnCQAU","Frais de terminaison","","","T-1823","FRP FR TEF","","Product Translation","","Termination Fee"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKeQAM","Assurance personnelle maladie et accident Erika","","","T-1824","FRP FR TI","","Product Translation","","Travel Insurance Coverage"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKhQAM","Travel Insurance Second Destinations","","","T-1825","FRP FR TI2D","","Product Translation","","Travel Insurance Second Destination"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKfQAM","Extension Assurance personnelle maladie et voyage (ERIKA)","","","T-1826","FRP FR TIPE","","Product Translation","","Travel Insurance Private Extension"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKgQAM","Travel insurance private extension incl. Sports suppl.","","","T-1827","FRP FR TIPES","","Product Translation","","Travel insurance private extension incl. Sports suppl."
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKiQAM","Assurance personnelle Erika Spécial Sport","","","T-1828","FRP FR TIS","","Product Translation","","Travel Insurance Sport"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTcuQAE","Transfert retour - de l' école/hébergement à l'aéroport","","","T-1829","FRP FR TSR","","Product Translation","","Oneway Return Transfer - School to Airport"
