Active,Category Label,Category Name,Currency ISO Code,Guide Page,Type
"true","Cambridge Courses","Cambridge Courses","CHF","","Option Group"
"true","Cambridge Accommodation","Cambridge Accommodation","CHF","","Option Group"
"true","Cambridge Insurance","Cambridge Insurance","CHF","","Option Group"
"true","Cambridge Travel","Cambridge Travel","CHF","","Option Group"
"true","Cambridge Other","Cambridge Other","CHF","","Option Group"
"true","Cape Town Courses","Cape Town Courses","CHF","","Option Group"
"true","Cape Town Accommodation","Cape Town Accommodation","CHF","","Option Group"
"true","Cape Town Insurance","Cape Town Insurance","CHF","","Option Group"
"true","Cape Town Travel","Cape Town Travel","CHF","","Option Group"
"true","Cape Town Other","Cape Town Other","CHF","","Option Group"
"true","Singapore Travel","Singapore Travel","CHF","","Option Group"
"true","Singapore Other","Singapore Other","CHF","","Option Group"
"true","Saint Raphaël Courses","Saint Raphaël Courses","CHF","","Option Group"
"true","Saint Raphaël Accommodation","Saint Raphaël Accommodation","CHF","","Option Group"
"true","Clare College Courses","Clare College Courses","CHF","","Option Group"
"true","Clare College Accommodation","Clare College Accommodation","CHF","","Option Group"
"true","Clare College Insurance","Clare College Insurance","CHF","","Option Group"
"true","Auckland Other","Auckland Other","CHF","","Option Group"
"true","Auckland Insurance","Auckland Insurance","CHF","","Option Group"
"true","Barcelona Courses","Barcelona Courses","CHF","","Option Group"
"true","ILS/APP Destinations","ILS/APP Destinations","CHF","","Offering"
"true","Auckland Travel","Auckland Travel","CHF","","Option Group"
"true","General Fees","General Fees","CHF","","Option Group"
"true","Berlin Courses","Berlin Courses","CHF","","Option Group"
"true","Berlin Accommodation","Berlin Accommodation","CHF","","Option Group"
"true","Berlin Insurance","Berlin Insurance","CHF","","Option Group"
"true","Berlin Travel","Berlin Travel","CHF","","Option Group"
"true","Berlin Other","Berlin Other","CHF","","Option Group"
"true","Malaga Insurance","Malaga Insurance","CHF","","Option Group"
"true","Malaga Travel","Malaga Travel","CHF","","Option Group"
"true","Malaga Other","Malaga Other","CHF","","Option Group"
