Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPPOOLFD","","","Poole Waterpark Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPREEF","","","Ocean Spirit Reef Cruise","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSANWE","","","San Diego Weekend","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSCRBBFD","","","Santa Cruz Boardwalk","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSEAFD","","","Seattle Excursion","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSEAWRLD","","","SeaWorld San Diego","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFBC","","","San Francisco Bay Cruise","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFDKFD","","","Six Flags Discovery Kingdom","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFGAFD","","","Six Flags Great Adventure","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFHD","","","Surfing Optional Excursion","Optional Excursions","Other","true","false","Each","1.0"
