Content Type,Currency ISO Code,Detail Page,Export Name of the Option Group,Export Name of the Product,Is Hidden,Is Leaf,Is Picklist,Left,Level,Max Options,Max Total Quantity,Min Options,Min Total Quantity,Modifiable Type,Right,Root Sequence,Sequence,Apttus_Config2__OptionGroupId__r.Name,Apttus_Config2__MaxTotalQuantityExpressionId__r.Field Expression Name,Apttus_Config2__MinTotalQuantityExpressionId__r.Field Expression Name,Apttus_Config2__ParentOptionGroupId__r.Name,Apttus_Config2__ProductAttributeGroupMemberId__r.Group Name,Apttus_Config2__ProductId__r.Product Name,Apttus_Config2__RootOptionGroupId__r.Name
"Options","CHF","","Miami UP & Diploma Courses","Miami","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Miami UP & Diploma Courses","","","","","Miami","Miami UP & Diploma Courses"
"Options","CHF","","New York UP & Diploma Courses","New York","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","New York UP & Diploma Courses","","","","","New York","New York UP & Diploma Courses"
"Options","CHF","","Santa Barbara UP & Diploma Courses","Santa Barbara","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Santa Barbara UP & Diploma Courses","","","","","Santa Barbara","Santa Barbara UP & Diploma Courses"
"Options","CHF","","San Diego Point Loma UP & Diploma Courses","San Diego Point Loma","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","San Diego Point Loma UP & Diploma Courses","","","","","San Diego Point Loma","San Diego Point Loma UP & Diploma Courses"
"Options","CHF","","Seattle UP & Diploma Courses","Seattle","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Seattle UP & Diploma Courses","","","","","Seattle","Seattle UP & Diploma Courses"
"Options","CHF","","San Francisco Down Town UP & Diploma Courses","San Francisco Down Town","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","San Francisco Down Town UP & Diploma Courses","","","","","San Francisco Down Town","San Francisco Down Town UP & Diploma Courses"
"Options","CHF","","Cambridge UP & Diploma Courses","Cambridge","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Cambridge UP & Diploma Courses","","","","","Cambridge","Cambridge UP & Diploma Courses"
"Options","CHF","","Vancouver Island Insurance","Vancouver Island","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Vancouver Island Insurance","","","","","Vancouver Island","Vancouver Island Insurance"
"Options","CHF","","General Fees","Manchester","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Manchester","General Fees"
"Options","CHF","","General Fees","Malaga","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Malaga","General Fees"
"Options","CHF","","Tokyo Accommodation","Tokyo","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Tokyo Accommodation","","","","","Tokyo","Tokyo Accommodation"
"Options","CHF","","London UP & Diploma Courses","London","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","London UP & Diploma Courses","","","","","London","London UP & Diploma Courses"
"Options","CHF","","Oxford UP & Diploma Courses","Oxford","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Oxford UP & Diploma Courses","","","","","Oxford","Oxford UP & Diploma Courses"
"Options","CHF","","Tokyo Other","Tokyo","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Tokyo Other","","","","","Tokyo","Tokyo Other"
"Options","CHF","","Tokyo Travel","Tokyo","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Tokyo Travel","","","","","Tokyo","Tokyo Travel"
"Options","CHF","","Tokyo Insurance","Tokyo","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Tokyo Insurance","","","","","Tokyo","Tokyo Insurance"
"Options","CHF","","Washington D.C. UP & Diploma Courses","Washington D.C.","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","2.0","0.0","Washington D.C. UP & Diploma Courses","","","","","Washington D.C.","Washington D.C. UP & Diploma Courses"
"Options","CHF","","Malta St. Julian's Courses","Malta St. Julian's","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Malta St. Julian's Courses","","","","","Malta St. Julian's","Malta St. Julian's Courses"
"Options","CHF","","Malta St. Julian's Accommodation","Malta St. Julian's","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Malta St. Julian's Accommodation","","","","","Malta St. Julian's","Malta St. Julian's Accommodation"
"Options","CHF","","Malta St. Julian's Other","Malta St. Julian's","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Malta St. Julian's Other","","","","","Malta St. Julian's","Malta St. Julian's Other"
"Options","CHF","","Miami Courses","Miami","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Miami Courses","","","","","Miami","Miami Courses"
"Options","CHF","","Miami Accommodation","Miami","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Miami Accommodation","","","","","Miami","Miami Accommodation"
"Options","CHF","","Miami Insurance","Miami","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Miami Insurance","","","","","Miami","Miami Insurance"
"Options","CHF","","Miami Travel","Miami","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Miami Travel","","","","","Miami","Miami Travel"
"Options","CHF","","Miami Other","Miami","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Miami Other","","","","","Miami","Miami Other"
"Options","CHF","","Oxford Courses","Oxford","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Oxford Courses","","","","","Oxford","Oxford Courses"
"Options","CHF","","Oxford Accommodation","Oxford","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Oxford Accommodation","","","","","Oxford","Oxford Accommodation"
"Options","CHF","","Oxford Insurance","Oxford","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Oxford Insurance","","","","","Oxford","Oxford Insurance"
"Options","CHF","","Oxford Travel","Oxford","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Oxford Travel","","","","","Oxford","Oxford Travel"
"Options","CHF","","Oxford Other","Oxford","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Oxford Other","","","","","Oxford","Oxford Other"
"Options","CHF","","Paris Courses","Paris","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Paris Courses","","","","","Paris","Paris Courses"
"Options","CHF","","Paris Accommodation","Paris","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Paris Accommodation","","","","","Paris","Paris Accommodation"
"Options","CHF","","Paris Insurance","Paris","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Paris Insurance","","","","","Paris","Paris Insurance"
"Options","CHF","","Paris Travel","Paris","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Paris Travel","","","","","Paris","Paris Travel"
"Options","CHF","","Paris Other","Paris","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Paris Other","","","","","Paris","Paris Other"
"Options","CHF","","San Diego Point Loma Courses","San Diego Point Loma","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","San Diego Point Loma Courses","","","","","San Diego Point Loma","San Diego Point Loma Courses"
"Options","CHF","","San Diego Point Loma Accommodation","San Diego Point Loma","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","San Diego Point Loma Accommodation","","","","","San Diego Point Loma","San Diego Point Loma Accommodation"
"Options","CHF","","San Diego Point Loma Insurance","San Diego Point Loma","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","San Diego Point Loma Insurance","","","","","San Diego Point Loma","San Diego Point Loma Insurance"
"Options","CHF","","San Diego Point Loma Travel","San Diego Point Loma","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","San Diego Point Loma Travel","","","","","San Diego Point Loma","San Diego Point Loma Travel"
"Options","CHF","","Boston Courses","Boston","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Boston Courses","","","","","Boston","Boston Courses"
"Options","CHF","","Boston Accommodation","Boston","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Boston Accommodation","","","","","Boston","Boston Accommodation"
"Options","CHF","","Boston Insurance","Boston","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Boston Insurance","","","","","Boston","Boston Insurance"
"Options","CHF","","Boston Travel","Boston","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Boston Travel","","","","","Boston","Boston Travel"
"Options","CHF","","Boston Other","Boston","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Boston Other","","","","","Boston","Boston Other"
"Options","CHF","","San Diego Point Loma Other","San Diego Point Loma","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","San Diego Point Loma Other","","","","","San Diego Point Loma","San Diego Point Loma Other"
"Options","CHF","","San Francisco Down Town Courses","San Francisco Down Town","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","San Francisco Down Town Courses","","","","","San Francisco Down Town","San Francisco Down Town Courses"
"Options","CHF","","San Francisco Down Town Accommodation","San Francisco Down Town","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","San Francisco Down Town Accommodation","","","","","San Francisco Down Town","San Francisco Down Town Accommodation"
"Options","CHF","","San Francisco Down Town Insurance","San Francisco Down Town","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","San Francisco Down Town Insurance","","","","","San Francisco Down Town","San Francisco Down Town Insurance"
"Options","CHF","","San Francisco Down Town Travel","San Francisco Down Town","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","San Francisco Down Town Travel","","","","","San Francisco Down Town","San Francisco Down Town Travel"
"Options","CHF","","San Francisco Down Town Other","San Francisco Down Town","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","San Francisco Down Town Other","","","","","San Francisco Down Town","San Francisco Down Town Other"
"Options","CHF","","Santa Barbara Courses","Santa Barbara","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Santa Barbara Courses","","","","","Santa Barbara","Santa Barbara Courses"
"Options","CHF","","Santa Barbara Accommodation","Santa Barbara","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Santa Barbara Accommodation","","","","","Santa Barbara","Santa Barbara Accommodation"
"Options","CHF","","Santa Barbara Insurance","Santa Barbara","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Santa Barbara Insurance","","","","","Santa Barbara","Santa Barbara Insurance"
"Options","CHF","","Santa Barbara Travel","Santa Barbara","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Santa Barbara Travel","","","","","Santa Barbara","Santa Barbara Travel"
"Options","CHF","","Santa Barbara Other","Santa Barbara","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Santa Barbara Other","","","","","Santa Barbara","Santa Barbara Other"
"Options","CHF","","Singapore Courses","Singapore","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Singapore Courses","","","","","Singapore","Singapore Courses"
"Options","CHF","","Singapore Accommodation","Singapore","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Singapore Accommodation","","","","","Singapore","Singapore Accommodation"
"Options","CHF","","Singapore Insurance","Singapore","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Singapore Insurance","","","","","Singapore","Singapore Insurance"
"Options","CHF","","Singapore Travel","Singapore","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Singapore Travel","","","","","Singapore","Singapore Travel"
"Options","CHF","","Singapore Other","Singapore","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Singapore Other","","","","","Singapore","Singapore Other"
"Options","CHF","","Saint Raphaël Courses","Saint Raphaël","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Saint Raphaël Courses","","","","","Saint Raphaël","Saint Raphaël Courses"
"Options","CHF","","Saint Raphaël Accommodation","Saint Raphaël","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Saint Raphaël Accommodation","","","","","Saint Raphaël","Saint Raphaël Accommodation"
"Options","CHF","","Saint Raphaël Insurance","Saint Raphaël","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Saint Raphaël Insurance","","","","","Saint Raphaël","Saint Raphaël Insurance"
"Options","CHF","","Saint Raphaël Travel","Saint Raphaël","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Saint Raphaël Travel","","","","","Saint Raphaël","Saint Raphaël Travel"
"Options","CHF","","Bournemouth Courses","Bournemouth","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Bournemouth Courses","","","","","Bournemouth","Bournemouth Courses"
"Options","CHF","","Bournemouth Accommodation","Bournemouth","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Bournemouth Accommodation","","","","","Bournemouth","Bournemouth Accommodation"
"Options","CHF","","Bournemouth Insurance","Bournemouth","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Bournemouth Insurance","","","","","Bournemouth","Bournemouth Insurance"
"Options","CHF","","Bournemouth Other","Bournemouth","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Bournemouth Other","","","","","Bournemouth","Bournemouth Other"
"Options","CHF","","Brisbane Courses","Brisbane","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Brisbane Courses","","","","","Brisbane","Brisbane Courses"
"Options","CHF","","Brisbane Accommodation","Brisbane","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Brisbane Accommodation","","","","","Brisbane","Brisbane Accommodation"
"Options","CHF","","Brisbane Insurance","Brisbane","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Brisbane Insurance","","","","","Brisbane","Brisbane Insurance"
"Options","CHF","","Brisbane Travel","Brisbane","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Brisbane Travel","","","","","Brisbane","Brisbane Travel"
"Options","CHF","","Brisbane Other","Brisbane","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Brisbane Other","","","","","Brisbane","Brisbane Other"
"Options","CHF","","Bristol Courses","Bristol","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Bristol Courses","","","","","Bristol","Bristol Courses"
"Options","CHF","","Bristol Accommodation","Bristol","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","3.0","0.0","Bristol Accommodation","","","","","Bristol","Bristol Accommodation"
"Options","CHF","","Bristol Insurance","Bristol","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Bristol Insurance","","","","","Bristol","Bristol Insurance"
"Options","CHF","","Bristol Travel","Bristol","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Bristol Travel","","","","","Bristol","Bristol Travel"
"Options","CHF","","Saint Raphaël Other","Saint Raphaël","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Saint Raphaël Other","","","","","Saint Raphaël","Saint Raphaël Other"
"Options","CHF","","Bristol Other","Bristol","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","6.0","0.0","Bristol Other","","","","","Bristol","Bristol Other"
"Options","CHF","","Chicago Courses","Chicago","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Chicago Courses","","","","","Chicago","Chicago Courses"
"Options","CHF","","Chicago Accommodation","Chicago","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Chicago Accommodation","","","","","Chicago","Chicago Accommodation"
"Options","CHF","","Chicago Insurance","Chicago","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Chicago Insurance","","","","","Chicago","Chicago Insurance"
"Options","CHF","","Chicago Travel","Chicago","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Chicago Travel","","","","","Chicago","Chicago Travel"
"Options","CHF","","Chicago Other","Chicago","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Chicago Other","","","","","Chicago","Chicago Other"
"Options","CHF","","Costa Rica Courses","Costa Rica","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Costa Rica Courses","","","","","Costa Rica","Costa Rica Courses"
"Options","CHF","","Costa Rica Accommodation","Costa Rica","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Costa Rica Accommodation","","","","","Costa Rica","Costa Rica Accommodation"
"Options","CHF","","Costa Rica Insurance","Costa Rica","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Costa Rica Insurance","","","","","Costa Rica","Costa Rica Insurance"
"Options","CHF","","Costa Rica Travel","Costa Rica","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Costa Rica Travel","","","","","Costa Rica","Costa Rica Travel"
"Options","CHF","","Costa Rica Other","Costa Rica","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Costa Rica Other","","","","","Costa Rica","Costa Rica Other"
"Options","CHF","","Dublin Courses","Dublin","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Dublin Courses","","","","","Dublin","Dublin Courses"
"Options","CHF","","Dublin Accommodation","Dublin","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Dublin Accommodation","","","","","Dublin","Dublin Accommodation"
"Options","CHF","","Dublin Insurance","Dublin","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Dublin Insurance","","","","","Dublin","Dublin Insurance"
"Options","CHF","","Dublin Travel","Dublin","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Dublin Travel","","","","","Dublin","Dublin Travel"
"Options","CHF","","Dublin Other","Dublin","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Dublin Other","","","","","Dublin","Dublin Other"
"Options","CHF","","Honolulu Accommodation","Honolulu","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Honolulu Accommodation","","","","","Honolulu","Honolulu Accommodation"
"Options","CHF","","Honolulu Insurance","Honolulu","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Honolulu Insurance","","","","","Honolulu","Honolulu Insurance"
"Options","CHF","","Honolulu Travel","Honolulu","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Honolulu Travel","","","","","Honolulu","Honolulu Travel"
"Options","CHF","","Nice Other","Nice","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Nice Other","","","","","Nice","Nice Other"
"Options","CHF","","Perth Courses","Perth","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Perth Courses","","","","","Perth","Perth Courses"
"Options","CHF","","Perth Accommodation","Perth","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Perth Accommodation","","","","","Perth","Perth Accommodation"
"Options","CHF","","Perth Insurance","Perth","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Perth Insurance","","","","","Perth","Perth Insurance"
"Options","CHF","","Perth Travel","Perth","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Perth Travel","","","","","Perth","Perth Travel"
"Options","CHF","","Perth Other","Perth","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Perth Other","","","","","Perth","Perth Other"
"Options","CHF","","Vancouver Island Travel","Vancouver Island","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Vancouver Island Travel","","","","","Vancouver Island","Vancouver Island Travel"
"Options","CHF","","Vancouver Island Other","Vancouver Island","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","5.0","0.0","Vancouver Island Other","","","","","Vancouver Island","Vancouver Island Other"
"Options","CHF","","Vught Courses","Vught","false","true","false","1.0","0.0","1.0","","0.0","","Variable","2.0","1.0","0.0","Vught Courses","","","","","Vught","Vught Courses"
"Options","CHF","","Vught Accommodation","Vught","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","2.0","0.0","Vught Accommodation","","","","","Vught","Vught Accommodation"
"Options","CHF","","Vught Insurance","Vught","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","Vught Insurance","","","","","Vught","Vught Insurance"
"Options","CHF","","Vught Travel","Vught","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","Vught Travel","","","","","Vught","Vught Travel"
